No of Blocks,Label,Time
18,20-49,0.0086
18,20-49,0.0079
24,20-49,0.0107
22,20-49,0.0096
17,0-19,0.007
20,0-19,0.0081
21,0-19,0.0097
18,20-49,0.0086
20,0-19,0.0098
18,20-49,0.008
21,0-19,0.0094
20,0-19,0.0093
17,0-19,0.0078
19,20-49,0.0089
19,more than 50,0.0088
19,0-19,0.0085
21,more than 50,0.0108
20,more than 50,0.0095
18,0-19,0.0088
17,20-49,0.0082
20,0-19,0.0096
20,0-19,0.0099
17,20-49,0.0086
19,more than 50,0.009
18,more than 50,0.0091
20,20-49,0.0089
20,20-49,0.0101
21,more than 50,0.0107
19,20-49,0.0095
21,0-19,0.0107
23,more than 50,0.012
19,more than 50,0.0099
21,0-19,0.0103
21,more than 50,0.0108
19,more than 50,0.0096
20,20-49,0.0093
17,0-19,0.009
21,more than 50,0.0103
23,more than 50,0.0117
21,more than 50,0.0102
19,0-19,0.0095
15,0-19,0.0074
20,0-19,0.0091
17,0-19,0.0082
23,more than 50,0.0109
20,20-49,0.0102
23,0-19,0.0114
18,20-49,0.0088
21,more than 50,0.0103
18,20-49,0.0086
16,20-49,0.0078
24,0-19,0.0113
24,20-49,0.0149
19,more than 50,0.0094
16,0-19,0.0088
19,more than 50,0.0106
18,20-49,0.0094
17,0-19,0.0161
18,0-19,0.012
19,0-19,0.0116
18,more than 50,0.0095
22,0-19,0.0109
20,0-19,0.0101
18,20-49,0.0094
20,0-19,0.0099
18,20-49,0.0088
19,0-19,0.0091
19,20-49,0.0099
22,20-49,0.0103
20,20-49,0.0099
21,more than 50,0.01
18,more than 50,0.0082
26,20-49,0.0135
21,20-49,0.0105
20,more than 50,0.0097
24,20-49,0.0116
21,20-49,0.0103
18,more than 50,0.0088
23,0-19,0.0125
23,20-49,0.0182
17,20-49,0.0089
26,0-19,0.0134
15,20-49,0.0073
21,20-49,0.0111
19,more than 50,0.0092
15,20-49,0.0074
19,20-49,0.0084
19,more than 50,0.0089
